dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003943,12.768001,0.003704,0.148148,2.962963,59.259259,0.000514
0.050000,0.016227,12.768017,0.015987,0.245669,1.950408,-20.251093,0.002116
0.050000,0.036699,12.768088,0.036460,0.409456,3.275745,26.506738,0.004785
0.050000,0.065361,12.768279,0.065123,0.573253,3.275948,0.004051,0.008524
0.050000,0.102212,12.768681,0.101976,0.737060,3.276142,0.003892,0.013332
0.050000,0.147250,12.769414,0.147019,0.900872,3.276239,0.001939,0.019211
0.050000,0.200470,12.770622,0.200253,1.064678,3.276121,-0.002359,0.026159
0.050000,0.261865,12.772474,0.261676,1.228461,3.275644,-0.009546,0.034175
0.050000,0.331422,12.775169,0.331286,1.392192,3.274634,-0.020196,0.043255
0.050000,0.409123,12.778926,0.409078,1.555837,3.272891,-0.034859,0.053394
0.050000,0.494941,12.783995,0.495045,1.719346,3.270187,-0.054085,0.064583
0.050000,0.588839,12.790644,0.589178,1.882660,3.266269,-0.078363,0.076807
0.050000,0.690768,12.799168,0.691463,2.045703,3.260863,-0.108119,0.090049
0.050000,0.800667,12.809881,0.801882,2.208387,3.253680,-0.143658,0.104285
0.050000,0.918456,12.823116,0.920413,2.370608,3.244424,-0.185128,0.119482
0.050000,1.044040,12.839222,1.047025,2.532248,3.232801,-0.232460,0.135600
0.050000,1.177303,12.858560,1.181684,2.693175,3.218534,-0.285334,0.152592
0.050000,1.318108,12.881502,1.324346,2.853244,3.201378,-0.343126,0.170399
0.050000,1.466298,12.908422,1.474961,3.012300,3.181134,-0.404877,0.188951
0.050000,1.621692,12.939693,1.633470,3.170184,3.157669,-0.469295,0.208169
0.050000,1.784088,12.975684,1.799807,3.326730,3.130931,-0.534761,0.227960
0.050000,1.953264,13.016749,1.973896,3.481778,3.100961,-0.599402,0.248223
0.050000,2.128980,13.063227,2.155654,3.635173,3.067902,-0.661177,0.268845
0.050000,2.310980,13.115430,2.344993,3.786774,3.032002,-0.718000,0.289703
0.050000,2.498998,13.173641,2.541816,3.936454,2.993607,-0.767911,0.310666
0.050000,2.692759,13.238110,2.746021,4.084111,2.953145,-0.809228,0.331595
0.050000,2.891991,13.309046,2.957505,4.229667,2.911109,-0.840716,0.352348
0.050000,3.092727,13.385170,3.172190,4.293710,1.280863,-32.604934,0.372415
0.050000,3.291186,13.464893,3.386063,4.277461,-0.324970,-32.116658,0.391372
0.050000,3.487386,13.547932,3.599112,4.260983,-0.329571,-0.092018,0.409202
0.050000,3.681365,13.634009,3.811331,4.244374,-0.332179,-0.052164,0.425898
0.050000,3.873174,13.722852,4.022717,4.227718,-0.333106,-0.018530,0.441455
0.050000,4.062881,13.814200,4.233271,4.211086,-0.332655,0.009016,0.455876
0.050000,4.250563,13.907798,4.442998,4.194530,-0.331115,0.030789,0.469166
0.050000,4.436308,14.003401,4.651902,4.178092,-0.328755,0.047215,0.481332
0.050000,4.620211,14.100773,4.859992,4.161801,-0.325815,0.058796,0.492386
0.050000,4.802372,14.199686,5.067276,4.145676,-0.322512,0.066067,0.502338
0.050000,4.982898,14.299920,5.273762,4.129724,-0.319033,0.069565,0.511199
0.050000,5.161897,14.401266,5.479460,4.113947,-0.315543,0.069810,0.518983
0.050000,5.339480,14.503516,5.684377,4.098338,-0.312178,0.067295,0.525701
0.050000,5.515760,14.606474,5.888521,4.082885,-0.309055,0.062468,0.531363
0.050000,5.690849,14.709947,6.091900,4.067572,-0.306268,0.055743,0.535979
0.050000,5.864860,14.813748,6.294518,4.052377,-0.303893,0.047488,0.539557
0.050000,6.037905,14.917692,6.496382,4.037278,-0.301991,0.038039,0.542103
0.050000,6.210096,15.021599,6.697495,4.022248,-0.300606,0.027695,0.543623
0.050000,6.381540,15.125291,6.897858,4.007259,-0.299770,0.016733,0.544119
0.050000,6.552345,15.228594,7.097472,3.992284,-0.299499,0.005408,0.543591
0.050000,6.722615,15.331332,7.296337,3.977294,-0.299801,-0.006035,0.542041
0.050000,6.892453,15.433332,7.494450,3.962261,-0.300669,-0.017355,0.539463
0.050000,7.061957,15.534418,7.691807,3.947156,-0.302084,-0.028307,0.535853
0.050000,7.231222,15.634418,7.888405,3.931956,-0.304016,-0.038634,0.531206
0.050000,7.400341,15.733155,8.084237,3.916635,-0.306419,-0.048059,0.525512
0.050000,7.569400,15.830453,8.279296,3.901173,-0.309233,-0.056281,0.518762
0.050000,7.738484,15.926132,8.473573,3.885554,-0.312381,-0.062965,0.510945
0.050000,7.907671,16.020013,8.667062,3.869765,-0.315768,-0.067738,0.502050
0.050000,8.077034,16.111911,8.859752,3.853802,-0.319278,-0.070189,0.492065
0.050000,8.246644,16.201643,9.051635,3.837663,-0.322771,-0.069861,0.480978
0.050000,8.416561,16.289022,9.242703,3.821359,-0.326084,-0.066264,0.468777
0.050000,8.586844,16.373858,9.432948,3.804907,-0.329028,-0.058876,0.455453
0.050000,8.757541,16.455962,9.622365,3.788338,-0.331385,-0.047155,0.440998
0.050000,8.928698,16.535143,9.810950,3.771693,-0.332914,-0.030569,0.425405
0.050000,9.100350,16.611210,9.998701,3.755025,-0.333345,-0.008615,0.408675
0.050000,9.272526,16.683974,10.185621,3.738406,-0.332388,0.019135,0.390810
0.050000,9.445249,16.753245,10.371717,3.721919,-0.329738,0.052989,0.371819
0.050000,9.618432,16.818802,10.556894,3.703529,-0.367791,-0.761053,0.351731
0.050000,9.788858,16.879365,10.737760,3.617330,-1.723982,-27.123828,0.330972
0.050000,9.953359,16.933987,10.911093,3.466658,-3.013452,-25.789401,0.310040
0.050000,10.111872,16.982957,11.076997,3.318087,-2.971420,0.840654,0.289080
0.050000,10.264329,17.026585,11.235574,3.171538,-2.930983,0.808745,0.268228
0.050000,10.410666,17.065198,11.386920,3.026906,-2.892632,0.767021,0.247617
0.050000,10.550820,17.099130,11.531123,2.884066,-2.856794,0.716741,0.227367
0.050000,10.684732,17.128727,11.668267,2.742876,-2.823814,0.659605,0.207593
0.050000,10.812347,17.154334,11.798426,2.603179,-2.793935,0.597586,0.188396
0.050000,10.933615,17.176296,11.921666,2.464814,-2.767296,0.532777,0.169866
0.050000,11.048491,17.194952,12.038047,2.327617,-2.743935,0.467215,0.152084
0.050000,11.156934,17.210634,12.147618,2.191427,-2.723797,0.402776,0.135119
0.050000,11.258910,17.223664,12.250423,2.056090,-2.706743,0.341064,0.119029
0.050000,11.354387,17.234350,12.346496,1.921461,-2.692575,0.283362,0.103861
0.050000,11.443339,17.242985,12.435867,1.787409,-2.681044,0.230620,0.089657
0.050000,11.525745,17.249845,12.518557,1.653816,-2.671872,0.183447,0.076446
0.050000,11.601586,17.255189,12.594586,1.520577,-2.664764,0.142155,0.064254
0.050000,11.670847,17.259258,12.663966,1.387606,-2.659424,0.106805,0.053098
0.050000,11.733516,17.262271,12.726708,1.254828,-2.655562,0.077235,0.042992
0.050000,11.789583,17.264429,12.782817,1.122183,-2.652905,0.053139,0.033944
0.050000,11.839042,17.265911,12.832298,0.989623,-2.651201,0.034088,0.025962
0.050000,11.881887,17.266875,12.875154,0.857112,-2.650222,0.019581,0.019047
0.050000,11.918113,17.267460,12.911385,0.724623,-2.649768,0.009079,0.013202
0.050000,11.947719,17.267780,12.940992,0.592140,-2.649667,0.002017,0.008427
0.050000,11.970701,17.267931,12.963975,0.459651,-2.649775,-0.002168,0.004722
0.050000,11.987058,17.267987,12.980332,0.327152,-2.649977,-0.004027,0.002085
0.050000,11.996790,17.267999,12.990064,0.194643,-2.650182,-0.004107,0.000517
0.050000,12.000000,17.268000,12.993274,0.064193,-2.609002,0.823598,0.000000
0.050000,12.000000,17.268000,12.993274,0.000000,-1.283864,26.502768,0.000000
